frame_number,total_vehicles,unique_vehicles,count_car,count_motorcycle,count_bus,count_truck,avg_speed_px
176,4,11,4,0,0,0,0.38
177,4,11,4,0,0,0,0.38
178,2,11,2,0,0,0,0.38
179,2,11,2,0,0,0,0.38
180,2,11,2,0,0,0,0.38
181,5,11,5,0,0,0,0.25
182,5,11,5,0,0,0,0.25
183,5,11,5,0,0,0,0.25
184,6,11,6,0,0,0,1.56
185,6,11,6,0,0,0,1.56
186,6,11,6,0,0,0,1.56
187,4,11,4,0,0,0,0.88
188,4,11,4,0,0,0,0.88
189,4,11,4,0,0,0,0.88
190,5,11,5,0,0,0,0.8
191,5,11,5,0,0,0,0.8
192,5,11,5,0,0,0,0.8
193,5,11,5,0,0,0,1.14
194,5,11,5,0,0,0,1.14
195,5,11,5,0,0,0,1.14
196,3,11,3,0,0,0,1.09
197,3,11,3,0,0,0,1.09
198,3,11,3,0,0,0,1.09
199,4,11,4,0,0,0,2.33
200,4,11,4,0,0,0,2.33
201,4,11,4,0,0,0,2.33
202,4,11,4,0,0,0,0.33
203,4,11,4,0,0,0,0.33
204,4,11,4,0,0,0,0.33
205,4,11,4,0,0,0,0.99
206,4,11,4,0,0,0,0.99
207,4,11,4,0,0,0,0.99
208,4,11,4,0,0,0,0.68
209,4,11,4,0,0,0,0.68
210,4,11,4,0,0,0,0.68
211,5,11,5,0,0,0,0.48
212,5,11,5,0,0,0,0.48
213,5,11,5,0,0,0,0.48
214,3,11,3,0,0,0,0.17
215,3,11,3,0,0,0,0.17
216,3,11,3,0,0,0,0.17
217,3,11,3,0,0,0,0.5
218,3,11,3,0,0,0,0.5
219,3,11,3,0,0,0,0.5
220,3,11,2,0,0,1,0.67
221,3,11,2,0,0,1,0.67
222,3,11,2,0,0,1,0.67
223,3,11,3,0,0,0,0.75
224,3,11,3,0,0,0,0.75
225,3,11,3,0,0,0,0.75
226,3,11,3,0,0,0,0.67
227,3,11,3,0,0,0,0.67
228,3,11,3,0,0,0,0.67
229,3,11,3,0,0,0,0.37
230,3,11,3,0,0,0,0.37
231,3,11,3,0,0,0,0.37
232,3,11,3,0,0,0,0.74
233,3,11,3,0,0,0,0.74
234,3,11,3,0,0,0,0.74
235,4,11,4,0,0,0,0.5
236,4,11,4,0,0,0,0.5
237,4,11,4,0,0,0,0.5
238,5,11,5,0,0,0,0.35
239,5,11,5,0,0,0,0.35
240,5,11,5,0,0,0,0.35
241,4,11,4,0,0,0,1.03
242,4,11,4,0,0,0,1.03
243,4,11,4,0,0,0,1.03
244,3,11,3,0,0,0,0.83
245,3,11,3,0,0,0,0.83
246,3,11,3,0,0,0,0.83
247,4,12,4,0,0,0,0.33
248,4,12,4,0,0,0,0.33
249,4,12,4,0,0,0,0.33
250,3,12,3,0,0,0,0.35
251,3,12,3,0,0,0,0.35
252,3,12,3,0,0,0,0.35
253,3,12,3,0,0,0,0.6
254,3,12,3,0,0,0,0.6
255,3,12,3,0,0,0,0.6
256,3,12,3,0,0,0,3.76
257,3,12,3,0,0,0,3.76
258,3,12,3,0,0,0,3.76
259,3,12,3,0,0,0,1.01
260,3,12,3,0,0,0,1.01
261,3,12,3,0,0,0,1.01
262,3,12,3,0,0,0,0.54
263,3,12,3,0,0,0,0.54
264,3,12,3,0,0,0,0.54
265,3,12,3,0,0,0,0.5
266,3,12,3,0,0,0,0.5
267,3,12,3,0,0,0,0.5
268,5,13,5,0,0,0,1.17
269,5,13,5,0,0,0,1.17
270,5,13,5,0,0,0,1.17
271,5,13,5,0,0,0,5.37
272,5,13,5,0,0,0,5.37
273,5,13,5,0,0,0,5.37
274,3,13,3,0,0,0,9.47
275,3,13,3,0,0,0,9.47
276,3,13,3,0,0,0,9.47
277,5,13,5,0,0,0,6.23
278,5,13,5,0,0,0,6.23
279,5,13,5,0,0,0,6.23
280,3,13,3,0,0,0,0.83
281,3,13,3,0,0,0,0.83
282,3,13,3,0,0,0,0.83
283,3,13,3,0,0,0,0.33
284,3,13,3,0,0,0,0.33
285,3,13,3,0,0,0,0.33
286,3,13,3,0,0,0,0.57
287,3,13,3,0,0,0,0.57
288,3,13,3,0,0,0,0.57
289,3,13,3,0,0,0,0.24
290,3,13,3,0,0,0,0.24
291,3,13,3,0,0,0,0.24
292,4,14,4,0,0,0,0.53
293,4,14,4,0,0,0,0.53
294,4,14,4,0,0,0,0.53
295,4,14,4,0,0,0,2.73
296,4,14,4,0,0,0,2.73
297,4,14,4,0,0,0,2.73
298,4,14,4,0,0,0,2.04
299,4,14,4,0,0,0,2.04
300,4,14,4,0,0,0,2.04
301,5,15,5,0,0,0,1.4
302,5,15,5,0,0,0,1.4
303,5,15,5,0,0,0,1.4
304,5,15,5,0,0,0,0.86
305,5,15,5,0,0,0,0.86
306,5,15,5,0,0,0,0.86
307,5,15,5,0,0,0,1.0
308,5,15,5,0,0,0,1.0
309,5,15,5,0,0,0,1.0
310,5,15,5,0,0,0,1.5
311,5,15,5,0,0,0,1.5
312,5,15,5,0,0,0,1.5
313,6,15,6,0,0,0,1.05
314,6,15,6,0,0,0,1.05
315,6,15,6,0,0,0,1.05
316,4,15,4,0,0,0,4.09
317,4,15,4,0,0,0,4.09
318,4,15,4,0,0,0,4.09
319,5,15,5,0,0,0,0.97
320,5,15,5,0,0,0,0.97
321,5,15,5,0,0,0,0.97
322,6,15,6,0,0,0,1.45
323,6,15,6,0,0,0,1.45
324,6,15,6,0,0,0,1.45
325,5,15,5,0,0,0,0.91
326,5,15,5,0,0,0,0.91
327,5,15,5,0,0,0,0.91
328,6,16,6,0,0,0,0.62
329,6,16,6,0,0,0,0.62
330,6,16,6,0,0,0,0.62
331,4,16,4,0,0,0,1.31
332,4,16,4,0,0,0,1.31
333,4,16,4,0,0,0,1.31
334,4,16,4,0,0,0,1.58
335,4,16,4,0,0,0,1.58
336,4,16,4,0,0,0,1.58
337,5,16,5,0,0,0,1.15
338,5,16,5,0,0,0,1.15
339,5,16,5,0,0,0,1.15
340,4,16,4,0,0,0,0.88
341,4,16,4,0,0,0,0.88
342,4,16,4,0,0,0,0.88
343,5,16,5,0,0,0,0.8
344,5,16,5,0,0,0,0.8
345,5,16,5,0,0,0,0.8
346,5,16,5,0,0,0,0.78
347,5,16,5,0,0,0,0.78
348,5,16,5,0,0,0,0.78
349,6,16,6,0,0,0,1.67
350,6,16,6,0,0,0,1.67
351,6,16,6,0,0,0,1.67
352,6,16,6,0,0,0,1.3
353,6,16,6,0,0,0,1.3
354,6,16,6,0,0,0,1.3
355,5,16,5,0,0,0,1.1
356,5,16,5,0,0,0,1.1
357,5,16,5,0,0,0,1.1
358,4,16,4,0,0,0,0.58
359,4,16,4,0,0,0,0.58
360,4,16,4,0,0,0,0.58
361,5,16,5,0,0,0,0.3
362,5,16,5,0,0,0,0.3
363,5,16,5,0,0,0,0.3
364,4,16,4,0,0,0,0.38
365,4,16,4,0,0,0,0.38
366,4,16,4,0,0,0,0.38
367,5,16,5,0,0,0,0.78
368,5,16,5,0,0,0,0.78
369,5,16,5,0,0,0,0.78
370,5,17,5,0,0,0,0.8
371,5,17,5,0,0,0,0.8
372,5,17,5,0,0,0,0.8
373,5,17,5,0,0,0,0.68
374,5,17,5,0,0,0,0.68
375,5,17,5,0,0,0,0.68
376,4,17,4,0,0,0,0.38
377,4,17,4,0,0,0,0.38
378,4,17,4,0,0,0,0.38
379,4,17,4,0,0,0,1.01
380,4,17,4,0,0,0,1.01
381,4,17,4,0,0,0,1.01
382,4,17,4,0,0,0,0.7
383,4,17,4,0,0,0,0.7
384,4,17,4,0,0,0,0.7
385,5,17,5,0,0,0,0.75
386,5,17,5,0,0,0,0.75
387,5,17,5,0,0,0,0.75
388,5,17,5,0,0,0,0.93
389,5,17,5,0,0,0,0.93
390,5,17,5,0,0,0,0.93
391,8,17,8,0,0,0,0.64
392,8,17,8,0,0,0,0.64
393,8,17,8,0,0,0,0.64
394,6,17,6,0,0,0,0.78
395,6,17,6,0,0,0,0.78
396,6,17,6,0,0,0,0.78
397,7,18,7,0,0,0,0.42
398,7,18,7,0,0,0,0.42
399,7,18,7,0,0,0,0.42
400,5,18,5,0,0,0,0.44
401,5,18,5,0,0,0,0.44
402,5,18,5,0,0,0,0.44
403,5,18,5,0,0,0,0.2
404,5,18,5,0,0,0,0.2
405,5,18,5,0,0,0,0.2
406,5,18,5,0,0,0,0.48
407,5,18,5,0,0,0,0.48
408,5,18,5,0,0,0,0.48
409,5,18,5,0,0,0,0.24
410,5,18,5,0,0,0,0.24
411,5,18,5,0,0,0,0.24
412,5,18,5,0,0,0,0.51
413,5,18,5,0,0,0,0.51
414,5,18,5,0,0,0,0.51
415,5,18,5,0,0,0,0.3
416,5,18,5,0,0,0,0.3
417,5,18,5,0,0,0,0.3
418,5,18,5,0,0,0,0.67
419,5,18,5,0,0,0,0.67
420,5,18,5,0,0,0,0.67
421,6,18,6,0,0,0,2.54
422,6,18,6,0,0,0,2.54
423,6,18,6,0,0,0,2.54
424,5,18,5,0,0,0,3.57
425,5,18,5,0,0,0,3.57
426,5,18,5,0,0,0,3.57
427,4,18,4,0,0,0,6.78
428,4,18,4,0,0,0,6.78
429,4,18,4,0,0,0,6.78
430,6,19,6,0,0,0,7.7
431,6,19,6,0,0,0,7.7
432,6,19,6,0,0,0,7.7
433,5,19,5,0,0,0,2.16
434,5,19,5,0,0,0,2.16
435,5,19,5,0,0,0,2.16
436,6,19,6,0,0,0,3.24
437,6,19,6,0,0,0,3.24
438,6,19,6,0,0,0,3.24
439,7,19,7,0,0,0,3.88
440,7,19,7,0,0,0,3.88
441,7,19,7,0,0,0,3.88
442,6,19,6,0,0,0,4.11
443,6,19,6,0,0,0,4.11
444,6,19,6,0,0,0,4.11
445,6,19,6,0,0,0,4.98
446,6,19,6,0,0,0,4.98
447,6,19,6,0,0,0,4.98
448,6,19,6,0,0,0,5.88
449,6,19,6,0,0,0,5.88
450,6,19,6,0,0,0,5.88
451,6,19,6,0,0,0,6.8
452,6,19,6,0,0,0,6.8
453,6,19,6,0,0,0,6.8
454,7,19,7,0,0,0,5.92
455,7,19,7,0,0,0,5.92
456,7,19,7,0,0,0,5.92
457,5,19,5,0,0,0,7.39
458,5,19,5,0,0,0,7.39
459,5,19,5,0,0,0,7.39
460,5,19,5,0,0,0,7.16
461,5,19,5,0,0,0,7.16
462,5,19,5,0,0,0,7.16
463,5,19,5,0,0,0,9.88
464,5,19,5,0,0,0,9.88
465,5,19,5,0,0,0,9.88
466,5,20,5,0,0,0,8.47
467,5,20,5,0,0,0,8.47
468,5,20,5,0,0,0,8.47
469,5,20,5,0,0,0,7.17
470,5,20,5,0,0,0,7.17
471,5,20,5,0,0,0,7.17
472,5,20,5,0,0,0,8.26
473,5,20,5,0,0,0,8.26
474,5,20,5,0,0,0,8.26
475,6,20,6,0,0,0,6.68
476,6,20,6,0,0,0,6.68
477,6,20,6,0,0,0,6.68
478,6,20,6,0,0,0,4.06
479,6,20,6,0,0,0,4.06
480,6,20,6,0,0,0,4.06
481,7,21,7,0,0,0,4.55
482,7,21,7,0,0,0,4.55
483,7,21,7,0,0,0,4.55
484,6,21,6,0,0,0,4.12
485,6,21,6,0,0,0,4.12
486,6,21,6,0,0,0,4.12
487,6,21,6,0,0,0,4.48
488,6,21,6,0,0,0,4.48
489,6,21,6,0,0,0,4.48
490,5,21,5,0,0,0,0.74
491,5,21,5,0,0,0,0.74
492,5,21,5,0,0,0,0.74
493,5,21,5,0,0,0,0.9
494,5,21,5,0,0,0,0.9
495,5,21,5,0,0,0,0.9
496,6,21,6,0,0,0,0.57
497,6,21,6,0,0,0,0.57
498,6,21,6,0,0,0,0.57
499,5,21,5,0,0,0,0.2
500,5,21,5,0,0,0,0.2
501,5,21,5,0,0,0,0.2
502,6,22,6,0,0,0,0.62
503,6,22,6,0,0,0,0.62
504,6,22,6,0,0,0,0.62
505,6,22,6,0,0,0,0.4
506,6,22,6,0,0,0,0.4
507,6,22,6,0,0,0,0.4
508,6,22,6,0,0,0,0.94
509,6,22,6,0,0,0,0.94
510,6,22,6,0,0,0,0.94
511,5,22,5,0,0,0,1.04
512,5,22,5,0,0,0,1.04
513,5,22,5,0,0,0,1.04
514,5,22,5,0,0,0,0.67
515,5,22,5,0,0,0,0.67
516,5,22,5,0,0,0,0.67
517,5,22,5,0,0,0,0.88
518,5,22,5,0,0,0,0.88
519,5,22,5,0,0,0,0.88
520,5,22,5,0,0,0,0.64
521,5,22,5,0,0,0,0.64
522,5,22,5,0,0,0,0.64
523,5,22,5,0,0,0,0.76
524,5,22,5,0,0,0,0.76
525,5,22,5,0,0,0,0.76
526,7,22,7,0,0,0,0.77
527,7,22,7,0,0,0,0.77
528,7,22,7,0,0,0,0.77
529,5,22,5,0,0,0,0.76
530,5,22,5,0,0,0,0.76
531,5,22,5,0,0,0,0.76
532,5,22,5,0,0,0,0.8
533,5,22,5,0,0,0,0.8
534,5,22,5,0,0,0,0.8
535,4,22,4,0,0,0,0.53
536,4,22,4,0,0,0,0.53
537,4,22,4,0,0,0,0.53
538,4,22,4,0,0,0,1.22
539,4,22,4,0,0,0,1.22
540,4,22,4,0,0,0,1.22
541,4,22,4,0,0,0,1.06
542,4,22,4,0,0,0,1.06
543,4,22,4,0,0,0,1.06
544,4,22,4,0,0,0,1.11
545,4,22,4,0,0,0,1.11
546,4,22,4,0,0,0,1.11
547,4,22,4,0,0,0,2.15
548,4,22,4,0,0,0,2.15
549,4,22,4,0,0,0,2.15
550,5,22,5,0,0,0,3.26
551,5,22,5,0,0,0,3.26
552,5,22,5,0,0,0,3.26
553,3,22,3,0,0,0,0.67
554,3,22,3,0,0,0,0.67
555,3,22,3,0,0,0,0.67
556,3,22,3,0,0,0,0.33
557,3,22,3,0,0,0,0.33
558,3,22,3,0,0,0,0.33
559,4,23,4,0,0,0,0.9
560,4,23,4,0,0,0,0.9
561,4,23,4,0,0,0,0.9
562,4,23,4,0,0,0,3.24
563,4,23,4,0,0,0,3.24
564,4,23,4,0,0,0,3.24
565,4,23,4,0,0,0,3.54
566,4,23,4,0,0,0,3.54
567,4,23,4,0,0,0,3.54
568,5,23,5,0,0,0,4.02
569,5,23,5,0,0,0,4.02
570,5,23,5,0,0,0,4.02
571,5,23,5,0,0,0,4.05
572,5,23,5,0,0,0,4.05
573,5,23,5,0,0,0,4.05
574,5,23,5,0,0,0,2.82
575,5,23,5,0,0,0,2.82
576,5,23,5,0,0,0,2.82
577,5,23,5,0,0,0,2.41
578,5,23,5,0,0,0,2.41
579,5,23,5,0,0,0,2.41
580,3,23,3,0,0,0,1.0
581,3,23,3,0,0,0,1.0
582,3,23,3,0,0,0,1.0
583,6,23,6,0,0,0,0.5
584,6,23,6,0,0,0,0.5
585,6,23,6,0,0,0,0.5
586,5,23,5,0,0,0,5.01
587,5,23,5,0,0,0,5.01
588,5,23,5,0,0,0,5.01
589,4,23,4,0,0,0,3.25
590,4,23,4,0,0,0,3.25
591,4,23,4,0,0,0,3.25
592,4,23,4,0,0,0,2.74
593,4,23,4,0,0,0,2.74
594,4,23,4,0,0,0,2.74
595,4,23,4,0,0,0,3.08
596,4,23,4,0,0,0,3.08
597,4,23,4,0,0,0,3.08
598,4,23,4,0,0,0,0.5
599,4,23,4,0,0,0,0.5
600,4,23,4,0,0,0,0.5
601,4,23,4,0,0,0,0.62
602,4,23,4,0,0,0,0.62
603,4,23,4,0,0,0,0.62
604,4,23,4,0,0,0,0.25
605,4,23,4,0,0,0,0.25
606,4,23,4,0,0,0,0.25
607,4,23,4,0,0,0,0.38
608,4,23,4,0,0,0,0.38
609,4,23,4,0,0,0,0.38
610,4,23,4,0,0,0,0.25
611,4,23,4,0,0,0,0.25
612,4,23,4,0,0,0,0.25
613,4,23,4,0,0,0,0.5
614,4,23,4,0,0,0,0.5
615,4,23,4,0,0,0,0.5
616,4,23,4,0,0,0,0.62
617,4,23,4,0,0,0,0.62
618,4,23,4,0,0,0,0.62
619,4,23,4,0,0,0,0.25
620,4,23,4,0,0,0,0.25
621,4,23,4,0,0,0,0.25
622,4,23,4,0,0,0,0.5
623,4,23,4,0,0,0,0.5
624,4,23,4,0,0,0,0.5
625,5,24,5,0,0,0,0.4
626,5,24,5,0,0,0,0.4
627,5,24,5,0,0,0,0.4
628,5,24,5,0,0,0,8.61
629,5,24,5,0,0,0,8.61
630,5,24,5,0,0,0,8.61
631,6,25,6,0,0,0,9.05
632,6,25,6,0,0,0,9.05
633,6,25,6,0,0,0,9.05
634,6,25,6,0,0,0,7.87
635,6,25,6,0,0,0,7.87
636,6,25,6,0,0,0,7.87
637,6,25,6,0,0,0,5.81
638,6,25,6,0,0,0,5.81
639,6,25,6,0,0,0,5.81
640,5,25,5,0,0,0,0.83
641,5,25,5,0,0,0,0.83
642,5,25,5,0,0,0,0.83
643,5,25,5,0,0,0,0.24
644,5,25,5,0,0,0,0.24
645,5,25,5,0,0,0,0.24
646,5,25,5,0,0,0,0.4
647,5,25,5,0,0,0,0.4
648,5,25,5,0,0,0,0.4
649,5,25,5,0,0,0,0.14
650,5,25,5,0,0,0,0.14
651,5,25,5,0,0,0,0.14
652,5,25,5,0,0,0,1.22
653,5,25,5,0,0,0,1.22
654,5,25,5,0,0,0,1.22
655,5,25,5,0,0,0,0.2
656,5,25,5,0,0,0,0.2
657,5,25,5,0,0,0,0.2
658,4,25,4,0,0,0,0.75
659,4,25,4,0,0,0,0.75
660,4,25,4,0,0,0,0.75
661,4,25,4,0,0,0,0.52
662,4,25,4,0,0,0,0.52
663,4,25,4,0,0,0,0.52
664,4,25,4,0,0,0,0.43
665,4,25,4,0,0,0,0.43
666,4,25,4,0,0,0,0.43
667,4,25,4,0,0,0,1.56
668,4,25,4,0,0,0,1.56
669,4,25,4,0,0,0,1.56
670,4,25,4,0,0,0,0.75
671,4,25,4,0,0,0,0.75
672,4,25,4,0,0,0,0.75
673,5,26,5,0,0,0,0.43
674,5,26,5,0,0,0,0.43
675,5,26,5,0,0,0,0.43
676,5,26,5,0,0,0,2.11
677,5,26,5,0,0,0,2.11
678,5,26,5,0,0,0,2.11
679,4,26,4,0,0,0,0.12
680,4,26,4,0,0,0,0.12
681,4,26,4,0,0,0,0.12
682,4,26,4,0,0,0,0.43
683,4,26,4,0,0,0,0.43
684,4,26,4,0,0,0,0.43
685,4,26,4,0,0,0,0.4
686,4,26,4,0,0,0,0.4
687,4,26,4,0,0,0,0.4
688,5,27,5,0,0,0,0.25
689,5,27,5,0,0,0,0.25
690,5,27,5,0,0,0,0.25
691,5,27,5,0,0,0,2.82
692,5,27,5,0,0,0,2.82
693,5,27,5,0,0,0,2.82
694,4,27,4,0,0,0,0.8
695,4,27,4,0,0,0,0.8
696,4,27,4,0,0,0,0.8
697,4,27,4,0,0,0,0.62
698,4,27,4,0,0,0,0.62
699,4,27,4,0,0,0,0.62
700,3,27,3,0,0,0,0.62
701,3,27,3,0,0,0,0.62
702,3,27,3,0,0,0,0.62
703,3,27,3,0,0,0,0.33
704,3,27,3,0,0,0,0.33
705,3,27,3,0,0,0,0.33
706,5,28,5,0,0,0,0.83
707,5,28,5,0,0,0,0.83
708,5,28,5,0,0,0,0.83
709,5,28,5,0,0,0,2.58
710,5,28,5,0,0,0,2.58
711,5,28,5,0,0,0,2.58
712,5,28,5,0,0,0,1.12
713,5,28,5,0,0,0,1.12
714,5,28,5,0,0,0,1.12
715,6,29,6,0,0,0,1.64
716,6,29,6,0,0,0,1.64
717,6,29,6,0,0,0,1.64
718,6,29,6,0,0,0,2.01
719,6,29,6,0,0,0,2.01
720,6,29,6,0,0,0,2.01
721,6,29,6,0,0,0,3.27
722,6,29,6,0,0,0,3.27
723,6,29,6,0,0,0,3.27
724,6,29,6,0,0,0,1.22
725,6,29,6,0,0,0,1.22
726,6,29,6,0,0,0,1.22
727,6,29,6,0,0,0,1.01
728,6,29,6,0,0,0,1.01
729,6,29,6,0,0,0,1.01
730,6,29,6,0,0,0,0.81
731,6,29,6,0,0,0,0.81
732,6,29,6,0,0,0,0.81
733,5,29,5,0,0,0,2.79
734,5,29,5,0,0,0,2.79
735,5,29,5,0,0,0,2.79
736,5,29,5,0,0,0,3.86
737,5,29,5,0,0,0,3.86
738,5,29,5,0,0,0,3.86
739,4,29,4,0,0,0,1.67
740,4,29,4,0,0,0,1.67
741,4,29,4,0,0,0,1.67
742,4,29,4,0,0,0,1.6
743,4,29,4,0,0,0,1.6
744,4,29,4,0,0,0,1.6
745,4,29,4,0,0,0,1.38
746,4,29,4,0,0,0,1.38
747,4,29,4,0,0,0,1.38
748,6,30,6,0,0,0,0.7
749,6,30,6,0,0,0,0.7
750,6,30,6,0,0,0,0.7
751,6,30,6,0,0,0,1.35
752,6,30,6,0,0,0,1.35
753,6,30,6,0,0,0,1.35
754,5,30,5,0,0,0,0.52
755,5,30,5,0,0,0,0.52
756,5,30,5,0,0,0,0.52
757,5,30,5,0,0,0,0.38
758,5,30,5,0,0,0,0.38
759,5,30,5,0,0,0,0.38
760,6,31,6,0,0,0,0.57
761,6,31,6,0,0,0,0.57
762,6,31,6,0,0,0,0.57
763,5,31,5,0,0,0,0.2
764,5,31,5,0,0,0,0.2
765,5,31,5,0,0,0,0.2
766,5,31,5,0,0,0,0.24
767,5,31,5,0,0,0,0.24
768,5,31,5,0,0,0,0.24
769,6,32,6,0,0,0,0.1
